Area,Item,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,years_since_1990,rain_temp_interaction,pesticides_per_rainfall,avg_temp_squared
Albania,Soybeans,7927.0,1485.0,201.0,16.96,4,25185.600000000002,0.1353535352623882,287.64160000000004
Albania,Wheat,24745.0,1485.0,201.0,16.96,4,25185.600000000002,0.1353535352623882,287.64160000000004
Albania,Maize,31300.0,1485.0,251.0,15.67,5,23269.95,0.16902356890974843,245.5489
Albania,Potatoes,111323.0,1485.0,251.0,15.67,5,23269.95,0.16902356890974843,245.5489
Albania,Soybeans,11791.0,1485.0,251.0,15.67,5,23269.95,0.16902356890974843,245.5489
Albania,Wheat,28703.0,1485.0,251.0,15.67,5,23269.95,0.16902356890974843,245.5489
Albania,Maize,32604.0,1485.0,313.96,15.64,6,23225.4,0.21142087527850442,244.60960000000003
Albania,Potatoes,106138.0,1485.0,313.96,15.64,6,23225.4,0.21142087527850442,244.60960000000003
Albania,Soybeans,15480.0,1485.0,313.96,15.64,6,23225.4,0.21142087527850442,244.60960000000003
Albania,Wheat,21741.0,1485.0,313.96,15.64,6,23225.4,0.21142087527850442,244.60960000000003
Albania,Maize,31862.0,1485.0,376.93,15.9,7,23611.5,0.25382491565398996,252.81
Albania,Potatoes,109874.0,1485.0,376.93,15.9,7,23611.5,0.25382491565398996,252.81
Albania,Soybeans,12768.0,1485.0,376.93,15.9,7,23611.5,0.25382491565398996,252.81
Albania,Wheat,28516.0,1485.0,376.93,15.9,7,23611.5,0.25382491565398996,252.81
Albania,Maize,33416.0,1485.0,439.89,16.27,8,24160.95,0.29622222202274595,264.7129
Albania,Potatoes,127212.0,1485.0,439.89,16.27,8,24160.95,0.29622222202274595,264.7129
Albania,Soybeans,14327.0,1485.0,439.89,16.27,8,24160.95,0.29622222202274595,264.7129
Albania,Wheat,28037.0,1485.0,439.89,16.27,8,24160.95,0.29622222202274595,264.7129
Albania,Maize,37455.0,1485.0,502.86,16.57,9,24606.45,0.33862626239823146,274.5649
Albania,Potatoes,142018.0,1485.0,502.86,16.57,9,24606.45,0.33862626239823146,274.5649
Albania,Soybeans,17143.0,1485.0,502.86,16.57,9,24606.45,0.33862626239823146,274.5649
Albania,Wheat,24954.0,1485.0,502.86,16.57,9,24606.45,0.33862626239823146,274.5649
Albania,Maize,38811.0,1485.0,565.82,16.67,10,24754.95,0.3810235687669875,277.88890000000004
Albania,Potatoes,141228.0,1485.0,565.82,16.67,10,24754.95,0.3810235687669875,277.88890000000004
Albania,Soybeans,15000.0,1485.0,565.82,16.67,10,24754.95,0.3810235687669875,277.88890000000004
Albania,Wheat,30455.0,1485.0,565.82,16.67,10,24754.95,0.3810235687669875,277.88890000000004
Albania,Maize,38135.0,1485.0,628.79,16.59,11,24636.15,0.42342760914247296,275.2281
Albania,Potatoes,148818.0,1485.0,628.79,16.59,11,24636.15,0.42342760914247296,275.2281
Albania,Soybeans,20000.0,1485.0,628.79,16.59,11,24636.15,0.42342760914247296,275.2281
Albania,Wheat,28220.0,1485.0,628.79,16.59,11,24636.15,0.42342760914247296,275.2281
Albania,Maize,39460.0,1485.0,691.75,16.47,12,24457.949999999997,0.46582491551122895,271.26089999999994
Albania,Potatoes,153868.0,1485.0,691.75,16.47,12,24457.949999999997,0.46582491551122895,271.26089999999994
Albania,Soybeans,20000.0,1485.0,691.75,16.47,12,24457.949999999997,0.46582491551122895,271.26089999999994
Albania,Wheat,31617.0,1485.0,691.75,16.47,12,24457.949999999997,0.46582491551122895,271.26089999999994
Albania,Maize,46197.0,1485.0,817.68,16.16,14,23997.6,0.5506262622554705,261.1456
Albania,Potatoes,149346.0,1485.0,817.68,16.16,14,23997.6,0.5506262622554705,261.1456
Albania,Soybeans,13333.0,1485.0,817.68,16.16,14,23997.6,0.5506262622554705,261.1456
Albania,Wheat,31130.0,1485.0,817.68,16.16,14,23997.6,0.5506262622554705,261.1456
Albania,Maize,45442.0,1485.0,880.64,15.67,15,23269.95,0.5930235686242264,245.5489
Albania,Potatoes,167061.0,1485.0,880.64,15.67,15,23269.95,0.5930235686242264,245.5489
Albania,Soybeans,17500.0,1485.0,880.64,15.67,15,23269.95,0.5930235686242264,245.5489
Albania,Wheat,31582.0,1485.0,880.64,15.67,15,23269.95,0.5930235686242264,245.5489
Albania,Maize,50111.0,1485.0,943.61,15.92,16,23641.2,0.635427608999712,253.4464
Albania,Potatoes,170745.0,1485.0,943.61,15.92,16,23641.2,0.635427608999712,253.4464
Albania,Soybeans,20000.0,1485.0,943.61,15.92,16,23641.2,0.635427608999712,253.4464
Albania,Wheat,30787.0,1485.0,943.61,15.92,16,23641.2,0.635427608999712,253.4464
Albania,Maize,46732.0,1485.0,1006.57,16.67,17,24754.95,0.677824915368468,277.88890000000004
Albania,Potatoes,188902.0,1485.0,1006.57,16.67,17,24754.95,0.677824915368468,277.88890000000004
Albania,Soybeans,20000.0,1485.0,1006.57,16.67,17,24754.95,0.677824915368468,277.88890000000004
Albania,Wheat,35496.0,1485.0,1006.57,16.67,17,24754.95,0.677824915368468,277.88890000000004
Albania,Maize,50000.0,1485.0,1069.54,16.71,18,24814.350000000002,0.7202289557439535,279.2241
Albania,Potatoes,193878.0,1485.0,1069.54,16.71,18,24814.350000000002,0.7202289557439535,279.2241
Albania,Soybeans,20000.0,1485.0,1069.54,16.71,18,24814.350000000002,0.7202289557439535,279.2241
Albania,Wheat,40168.0,1485.0,1069.54,16.71,18,24814.350000000002,0.7202289557439535,279.2241
Albania,Maize,55693.0,1485.0,1132.5,16.73,19,24844.05,0.7626262621127096,279.8929
Albania,Potatoes,219780.0,1485.0,1132.5,16.73,19,24844.05,0.7626262621127096,279.8929
Albania,Soybeans,16667.0,1485.0,1132.5,16.73,19,24844.05,0.7626262621127096,279.8929
Albania,Wheat,40229.0,1485.0,1132.5,16.73,19,24844.05,0.7626262621127096,279.8929
Albania,Maize,66790.0,1485.0,1311.17,16.52,20,24532.2,0.8829427603481866,272.9104
Albania,Potatoes,231111.0,1485.0,1311.17,16.52,20,24532.2,0.8829427603481866,272.9104
Albania,Soybeans,16667.0,1485.0,1311.17,16.52,20,24532.2,0.8829427603481866,272.9104
Albania,Wheat,39905.0,1485.0,1311.17,16.52,20,24532.2,0.8829427603481866,272.9104
Albania,Maize,59869.0,1485.0,1302.63,16.45,21,24428.25,0.8771919186012176,270.60249999999996
Albania,Potatoes,242211.0,1485.0,1302.63,16.45,21,24428.25,0.8771919186012176,270.60249999999996
Albania,Soybeans,18519.0,1485.0,1302.63,16.45,21,24428.25,0.8771919186012176,270.60249999999996
Albania,Wheat,42301.0,1485.0,1302.63,16.45,21,24428.25,0.8771919186012176,270.60249999999996
Albania,Maize,67290.0,1485.0,766.25,16.7,22,24799.5,0.5159932656457957,278.89
Albania,Potatoes,250538.0,1485.0,766.25,16.7,22,24799.5,0.5159932656457957,278.89
Albania,Soybeans,13333.0,1485.0,766.25,16.7,22,24799.5,0.5159932656457957,278.89
Albania,Wheat,41096.0,1485.0,766.25,16.7,22,24799.5,0.5159932656457957,278.89
Albania,Maize,69533.0,1485.0,982.32,17.41,23,25853.85,0.6614949490494983,303.1081
Albania,Potatoes,260110.0,1485.0,982.32,17.41,23,25853.85,0.6614949490494983,303.1081
Albania,Soybeans,10000.0,1485.0,982.32,17.41,23,25853.85,0.6614949490494983,303.1081
Albania,Wheat,41292.0,1485.0,982.32,17.41,23,25853.85,0.6614949490494983,303.1081
Algeria,Maize,16500.0,89.0,1828.92,17.48,0,1555.72,20.54966269045323,305.5504
Algeria,Potatoes,78936.0,89.0,1828.92,17.48,0,1555.72,20.54966269045323,305.5504
Algeria,Rice,28000.0,89.0,1828.92,17.48,0,1555.72,20.54966269045323,305.5504
Algeria,Sorghum,16571.0,89.0,1828.92,17.48,0,1555.72,20.54966269045323,305.5504
Algeria,Wheat,6315.0,89.0,1828.92,17.48,0,1555.72,20.54966269045323,305.5504
Algeria,Maize,19231.0,89.0,2461.8,16.26,1,1447.14,27.660673846509287,264.3876000000001
Algeria,Potatoes,90747.0,89.0,2461.8,16.26,1,1447.14,27.660673846509287,264.3876000000001
Algeria,Rice,26786.0,89.0,2461.8,16.26,1,1447.14,27.660673846509287,264.3876000000001
Algeria,Sorghum,24231.0,89.0,2461.8,16.26,1,1447.14,27.660673846509287,264.3876000000001
Algeria,Wheat,10809.0,89.0,2461.8,16.26,1,1447.14,27.660673846509287,264.3876000000001
Algeria,Maize,22828.0,89.0,1215.47,16.27,2,1448.03,13.656966138685775,264.7129
Algeria,Potatoes,107917.0,89.0,1215.47,16.27,2,1448.03,13.656966138685775,264.7129
Algeria,Rice,24733.0,89.0,1215.47,16.27,2,1448.03,13.656966138685775,264.7129
Algeria,Sorghum,40000.0,89.0,1215.47,16.27,2,1448.03,13.656966138685775,264.7129
Algeria,Wheat,9939.0,89.0,1215.47,16.27,2,1448.03,13.656966138685775,264.7129
Algeria,Maize,12500.0,89.0,1021.89,17.0,3,1513.0,11.481909983349325,289.0
Algeria,Potatoes,111215.0,89.0,1021.89,17.0,3,1513.0,11.481909983349325,289.0
Algeria,Rice,23111.0,89.0,1021.89,17.0,3,1513.0,11.481909983349325,289.0
Algeria,Sorghum,50000.0,89.0,1021.89,17.0,3,1513.0,11.481909983349325,289.0
Algeria,Wheat,8097.0,89.0,1021.89,17.0,3,1513.0,11.481909983349325,289.0
Algeria,Maize,4512.0,89.0,1255.02,17.88,4,1591.32,14.101348156164628,319.6944
Algeria,Potatoes,95078.0,89.0,1255.02,17.88,4,1591.32,14.101348156164628,319.6944
Algeria,Rice,21374.0,89.0,1255.02,17.88,4,1591.32,14.101348156164628,319.6944
Algeria,Wheat,7999.0,89.0,1255.02,17.88,4,1591.32,14.101348156164628,319.6944
Algeria,Maize,16115.0,89.0,2697.09,17.36,5,1545.04,30.304381681973243,301.3696
Algeria,Potatoes,136768.0,89.0,2697.09,17.36,5,1545.04,30.304381681973243,301.3696
Algeria,Rice,19598.0,89.0,2697.09,17.36,5,1545.04,30.304381681973243,301.3696
Algeria,Sorghum,12667.0,89.0,2697.09,17.36,5,1545.04,30.304381681973243,301.3696
Algeria,Wheat,8924.0,89.0,2697.09,17.36,5,1545.04,30.304381681973243,301.3696
Algeria,Maize,17154.0,89.0,479.77,16.76,6,1491.64,5.390674096733999,280.89760000000007
Algeria,Potatoes,134629.0,89.0,479.77,16.76,6,1491.64,5.390674096733999,280.89760000000007
Algeria,Rice,17861.0,89.0,479.77,16.76,6,1491.64,5.390674096733999,280.89760000000007
Algeria,Sorghum,14750.0,89.0,479.77,16.76,6,1491.64,5.390674096733999,280.89760000000007
Algeria,Wheat,13090.0,89.0,479.77,16.76,6,1491.64,5.390674096733999,280.89760000000007
Algeria,Maize,21417.0,89.0,401.22,17.84,7,1587.76,4.508089836987755,318.2656
Algeria,Potatoes,141042.0,89.0,401.22,17.84,7,1587.76,4.508089836987755,318.2656
Algeria,Rice,15000.0,89.0,401.22,17.84,7,1587.76,4.508089836987755,318.2656
Algeria,Sorghum,40000.0,89.0,401.22,17.84,7,1587.76,4.508089836987755,318.2656
Algeria,Wheat,8016.0,89.0,401.22,17.84,7,1587.76,4.508089836987755,318.2656
Algeria,Maize,17222.0,89.0,322.84,17.14,8,1525.46,3.627415689579599,293.7796
Algeria,Potatoes,160256.0,89.0,322.84,17.14,8,1525.46,3.627415689579599,293.7796
Algeria,Rice,15000.0,89.0,322.84,17.14,8,1525.46,3.627415689579599,293.7796
Algeria,Sorghum,24500.0,89.0,322.84,17.14,8,1525.46,3.627415689579599,293.7796
Algeria,Wheat,8847.0,89.0,322.84,17.14,8,1525.46,3.627415689579599,293.7796
Algeria,Maize,22375.0,89.0,654.45,17.97,9,1599.33,7.353370703894712,322.92089999999996
Algeria,Potatoes,153532.0,89.0,654.45,17.97,9,1599.33,7.353370703894712,322.92089999999996
Algeria,Rice,13942.0,89.0,654.45,17.97,9,1599.33,7.353370703894712,322.92089999999996
Algeria,Sorghum,27000.0,89.0,654.45,17.97,9,1599.33,7.353370703894712,322.92089999999996
Algeria,Wheat,10711.0,89.0,654.45,17.97,9,1599.33,7.353370703894712,322.92089999999996
Algeria,Maize,36186.0,89.0,603.67,17.9,10,1593.1,6.782808912552708,320.40999999999997
Algeria,Potatoes,166143.0,89.0,603.67,17.9,10,1593.1,6.782808912552708,320.40999999999997
Algeria,Rice,13052.0,89.0,603.67,17.9,10,1593.1,6.782808912552708,320.40999999999997
Algeria,Sorghum,69500.0,89.0,603.67,17.9,10,1593.1,6.782808912552708,320.40999999999997
Algeria,Wheat,9194.0,89.0,603.67,17.9,10,1593.1,6.782808912552708,320.40999999999997
Algeria,Maize,27175.0,89.0,710.11,18.13,11,1613.57,7.978763955294787,328.69689999999997
Algeria,Potatoes,147018.0,89.0,710.11,18.13,11,1613.57,7.978763955294787,328.69689999999997
Algeria,Rice,12314.0,89.0,710.11,18.13,11,1613.57,7.978763955294787,328.69689999999997
Algeria,Sorghum,27750.0,89.0,710.11,18.13,11,1613.57,7.978763955294787,328.69689999999997
Algeria,Wheat,11104.0,89.0,710.11,18.13,11,1613.57,7.978763955294787,328.69689999999997
Algeria,Maize,33480.0,89.0,816.55,17.85,12,1588.65,9.174718998036864,318.62250000000006
Algeria,Potatoes,183774.0,89.0,816.55,17.85,12,1588.65,9.174718998036864,318.62250000000006
Algeria,Rice,12959.0,89.0,816.55,17.85,12,1588.65,9.174718998036864,318.62250000000006
Algeria,Sorghum,33900.0,89.0,816.55,17.85,12,1588.65,9.174718998036864,318.62250000000006
Algeria,Wheat,10739.0,89.0,816.55,17.85,12,1588.65,9.174718998036864,318.62250000000006
Algeria,Maize,31729.0,89.0,3747.86,17.38,14,1546.82,42.110786043699036,302.0644
Algeria,Potatoes,203585.0,89.0,3747.86,17.38,14,1546.82,42.110786043699036,302.0644
Algeria,Rice,12829.0,89.0,3747.86,17.38,14,1546.82,42.110786043699036,302.0644
Algeria,Sorghum,43316.0,89.0,3747.86,17.38,14,1546.82,42.110786043699036,302.0644
Algeria,Wheat,13582.0,89.0,3747.86,17.38,14,1546.82,42.110786043699036,302.0644
Algeria,Maize,33864.0,89.0,3662.87,17.19,15,1529.91,41.15584223420402,295.49610000000007
Algeria,Potatoes,216267.0,89.0,3662.87,17.19,15,1529.91,41.15584223420402,295.49610000000007
Algeria,Rice,12998.0,89.0,3662.87,17.19,15,1529.91,41.15584223420402,295.49610000000007
Algeria,Sorghum,33486.0,89.0,3662.87,17.19,15,1529.91,41.15584223420402,295.49610000000007
Algeria,Wheat,15057.0,89.0,3662.87,17.19,15,1529.91,41.15584223420402,295.49610000000007
Algeria,Maize,65668.0,89.0,4110.72,18.13,16,1613.57,46.18786464957456,328.69689999999997
Algeria,Potatoes,220689.0,89.0,4110.72,18.13,16,1613.57,46.18786464957456,328.69689999999997
Algeria,Rice,12769.0,89.0,4110.72,18.13,16,1613.57,46.18786464957456,328.69689999999997
Algeria,Sorghum,56728.0,89.0,4110.72,18.13,16,1613.57,46.18786464957456,328.69689999999997
Algeria,Wheat,15068.0,89.0,4110.72,18.13,16,1613.57,46.18786464957456,328.69689999999997
Algeria,Maize,85625.0,89.0,5390.79,17.42,17,1550.38,60.57067347673401,303.4564000000001
Algeria,Potatoes,189927.0,89.0,5390.79,17.42,17,1550.38,60.57067347673401,303.4564000000001
Algeria,Rice,13375.0,89.0,5390.79,17.42,17,1550.38,60.57067347673401,303.4564000000001
Algeria,Sorghum,119059.0,89.0,5390.79,17.42,17,1550.38,60.57067347673401,303.4564000000001
Algeria,Wheat,12742.0,89.0,5390.79,17.42,17,1550.38,60.57067347673401,303.4564000000001
Algeria,Maize,44714.0,89.0,11556.12,17.55,18,1561.95,129.8440434848984,308.0025
Algeria,Potatoes,236393.0,89.0,11556.12,17.55,18,1561.95,129.8440434848984,308.0025
Algeria,Rice,13952.0,89.0,11556.12,17.55,18,1561.95,129.8440434848984,308.0025
Algeria,Sorghum,61786.0,89.0,11556.12,17.55,18,1561.95,129.8440434848984,308.0025
Algeria,Wheat,11038.0,89.0,11556.12,17.55,18,1561.95,129.8440434848984,308.0025
Algeria,Maize,30914.0,89.0,3867.99,17.78,19,1582.42,43.460561309431895,316.12840000000006
Algeria,Potatoes,250764.0,89.0,3867.99,17.78,19,1582.42,43.460561309431895,316.12840000000006
Algeria,Rice,14594.0,89.0,3867.99,17.78,19,1582.42,43.460561309431895,316.12840000000006
Algeria,Sorghum,90465.0,89.0,3867.99,17.78,19,1582.42,43.460561309431895,316.12840000000006
Algeria,Wheat,15975.0,89.0,3867.99,17.78,19,1582.42,43.460561309431895,316.12840000000006
Algeria,Maize,25827.0,89.0,1295.88,17.59,20,1565.51,14.560449274601694,309.4081
Algeria,Potatoes,270526.0,89.0,1295.88,17.59,20,1565.51,14.560449274601694,309.4081
Algeria,Rice,15305.0,89.0,1295.88,17.59,20,1565.51,14.560449274601694,309.4081
Algeria,Sorghum,30286.0,89.0,1295.88,17.59,20,1565.51,14.560449274601694,309.4081
Algeria,Wheat,14838.0,89.0,1295.88,17.59,20,1565.51,14.560449274601694,309.4081
Algeria,Maize,23374.0,89.0,13861.76,17.79,21,1583.31,155.75011060954932,316.48409999999996
Algeria,Potatoes,292806.0,89.0,13861.76,17.79,21,1583.31,155.75011060954932,316.48409999999996
Algeria,Rice,16081.0,89.0,13861.76,17.79,21,1583.31,155.75011060954932,316.48409999999996
Algeria,Sorghum,100000.0,89.0,13861.76,17.79,21,1583.31,155.75011060954932,316.48409999999996
Algeria,Wheat,17405.0,89.0,13861.76,17.79,21,1583.31,155.75011060954932,316.48409999999996
Algeria,Maize,25583.0,89.0,17379.76,17.91,22,1593.99,195.27820005305392,320.7681
Algeria,Potatoes,304291.0,89.0,17379.76,17.91,22,1593.99,195.27820005305392,320.7681
Algeria,Rice,16667.0,89.0,17379.76,17.91,22,1593.99,195.27820005305392,320.7681
Algeria,Sorghum,206000.0,89.0,17379.76,17.91,22,1593.99,195.27820005305392,320.7681
Algeria,Wheat,17639.0,89.0,17379.76,17.91,22,1593.99,195.27820005305392,320.7681
Algeria,Maize,33649.0,89.0,17278.65,17.65,23,1570.85,194.14213265008843,311.5224999999999
Algeria,Potatoes,303218.0,89.0,17278.65,17.65,23,1570.85,194.14213265008843,311.5224999999999
Algeria,Rice,17778.0,89.0,17278.65,17.65,23,1570.85,194.14213265008843,311.5224999999999
Algeria,Sorghum,60000.0,89.0,17278.65,17.65,23,1570.85,194.14213265008843,311.5224999999999
Algeria,Wheat,19100.0,89.0,17278.65,17.65,23,1570.85,194.14213265008843,311.5224999999999
Angola,Cassava,41177.0,1010.0,64.0,24.12,0,24361.2,0.06336633657092441,581.7744
Angola,Maize,2736.0,1010.0,64.0,24.12,0,24361.2,0.06336633657092441,581.7744
Angola,Potatoes,40000.0,1010.0,64.0,24.12,0,24361.2,0.06336633657092441,581.7744
Angola,Rice,9512.0,1010.0,64.0,24.12,0,24361.2,0.06336633657092441,581.7744
Angola,Sweet potatoes,89342.0,1010.0,64.0,24.12,0,24361.2,0.06336633657092441,581.7744
Angola,Wheat,7995.0,1010.0,64.0,24.12,0,24361.2,0.06336633657092441,581.7744
Angola,Cassava,40295.0,1010.0,79.0,24.02,1,24260.2,0.07821782170473483,576.9603999999999
Angola,Maize,4013.0,1010.0,79.0,24.02,1,24260.2,0.07821782170473483,576.9603999999999
Angola,Potatoes,40000.0,1010.0,79.0,24.02,1,24260.2,0.07821782170473483,576.9603999999999
Angola,Rice,10000.0,1010.0,79.0,24.02,1,24260.2,0.07821782170473483,576.9603999999999
Angola,Sweet potatoes,83001.0,1010.0,79.0,24.02,1,24260.2,0.07821782170473483,576.9603999999999
Angola,Wheat,8000.0,1010.0,79.0,24.02,1,24260.2,0.07821782170473483,576.9603999999999
Angola,Cassava,42295.0,1010.0,23.0,23.96,2,24199.600000000002,0.022772277205175964,574.0816000000001
Angola,Maize,3778.0,1010.0,23.0,23.96,2,24199.600000000002,0.022772277205175964,574.0816000000001
Angola,Potatoes,40000.0,1010.0,23.0,23.96,2,24199.600000000002,0.022772277205175964,574.0816000000001
Angola,Rice,9106.0,1010.0,23.0,23.96,2,24199.600000000002,0.022772277205175964,574.0816000000001
Angola,Sweet potatoes,90000.0,1010.0,23.0,23.96,2,24199.600000000002,0.022772277205175964,574.0816000000001
Angola,Wheat,8000.0,1010.0,23.0,23.96,2,24199.600000000002,0.022772277205175964,574.0816000000001
Angola,Cassava,42295.0,1010.0,169.0,24.15,3,24391.5,0.1673267325075973,583.2225
Angola,Maize,2627.0,1010.0,169.0,24.15,3,24391.5,0.1673267325075973,583.2225
Angola,Potatoes,70000.0,1010.0,169.0,24.15,3,24391.5,0.1673267325075973,583.2225
Angola,Rice,8000.0,1010.0,169.0,24.15,3,24391.5,0.1673267325075973,583.2225
Angola,Sweet potatoes,88095.0,1010.0,169.0,24.15,3,24391.5,0.1673267325075973,583.2225
Angola,Wheat,8876.0,1010.0,169.0,24.15,3,24391.5,0.1673267325075973,583.2225
Angola,Cassava,58596.0,1010.0,25.5,24.04,4,24280.399999999998,0.0252475247274777,577.9216
Angola,Maize,2463.0,1010.0,25.5,24.04,4,24280.399999999998,0.0252475247274777,577.9216
Angola,Potatoes,90000.0,1010.0,25.5,24.04,4,24280.399999999998,0.0252475247274777,577.9216
Angola,Rice,8750.0,1010.0,25.5,24.04,4,24280.399999999998,0.0252475247274777,577.9216
Angola,Sweet potatoes,83192.0,1010.0,25.5,24.04,4,24280.399999999998,0.0252475247274777,577.9216
Angola,Wheat,10000.0,1010.0,25.5,24.04,4,24280.399999999998,0.0252475247274777,577.9216
Angola,Cassava,51000.0,1010.0,336.0,24.56,5,24805.6,0.3326732669973532,603.1936
Angola,Maize,3517.0,1010.0,336.0,24.56,5,24805.6,0.3326732669973532,603.1936
Angola,Potatoes,76738.0,1010.0,336.0,24.56,5,24805.6,0.3326732669973532,603.1936
Angola,Rice,14615.0,1010.0,336.0,24.56,5,24805.6,0.3326732669973532,603.1936
Angola,Sweet potatoes,81138.0,1010.0,336.0,24.56,5,24805.6,0.3326732669973532,603.1936
Angola,Wheat,11855.0,1010.0,336.0,24.56,5,24805.6,0.3326732669973532,603.1936
Angola,Cassava,48077.0,1010.0,40.0,24.11,6,24351.1,0.03960396035682776,581.2921
Angola,Maize,6993.0,1010.0,40.0,24.11,6,24351.1,0.03960396035682776,581.2921
Angola,Potatoes,70000.0,1010.0,40.0,24.11,6,24351.1,0.03960396035682776,581.2921
Angola,Rice,17500.0,1010.0,40.0,24.11,6,24351.1,0.03960396035682776,581.2921
Angola,Sweet potatoes,85455.0,1010.0,40.0,24.11,6,24351.1,0.03960396035682776,581.2921
Angola,Wheat,13738.0,1010.0,40.0,24.11,6,24351.1,0.03960396035682776,581.2921
Angola,Cassava,44205.0,1010.0,40.0,24.06,7,24300.6,0.03960396035682776,578.8835999999999
Angola,Maize,5959.0,1010.0,40.0,24.06,7,24300.6,0.03960396035682776,578.8835999999999
Angola,Potatoes,68571.0,1010.0,40.0,24.06,7,24300.6,0.03960396035682776,578.8835999999999
Angola,Rice,20000.0,1010.0,40.0,24.06,7,24300.6,0.03960396035682776,578.8835999999999
Angola,Sweet potatoes,78098.0,1010.0,40.0,24.06,7,24300.6,0.03960396035682776,578.8835999999999
Angola,Wheat,15509.0,1010.0,40.0,24.06,7,24300.6,0.03960396035682776,578.8835999999999
Angola,Cassava,55728.0,1010.0,40.0,24.96,8,25209.600000000002,0.03960396035682776,623.0016
Angola,Maize,7396.0,1010.0,40.0,24.96,8,25209.600000000002,0.03960396035682776,623.0016
Angola,Potatoes,62724.0,1010.0,40.0,24.96,8,25209.600000000002,0.03960396035682776,623.0016
Angola,Rice,20000.0,1010.0,40.0,24.96,8,25209.600000000002,0.03960396035682776,623.0016
Angola,Sweet potatoes,76256.0,1010.0,40.0,24.96,8,25209.600000000002,0.03960396035682776,623.0016
Angola,Wheat,17143.0,1010.0,40.0,24.96,8,25209.600000000002,0.03960396035682776,623.0016
Angola,Cassava,59821.0,1010.0,40.0,24.37,9,24613.7,0.03960396035682776,593.8969000000001
Angola,Maize,6361.0,1010.0,40.0,24.37,9,24613.7,0.03960396035682776,593.8969000000001
Angola,Potatoes,54597.0,1010.0,40.0,24.37,9,24613.7,0.03960396035682776,593.8969000000001
Angola,Rice,14235.0,1010.0,40.0,24.37,9,24613.7,0.03960396035682776,593.8969000000001
Angola,Sweet potatoes,82865.0,1010.0,40.0,24.37,9,24613.7,0.03960396035682776,593.8969000000001
Angola,Wheat,17391.0,1010.0,40.0,24.37,9,24613.7,0.03960396035682776,593.8969000000001
Angola,Cassava,82992.0,1010.0,40.0,24.41,10,24654.1,0.03960396035682776,595.8481
Angola,Maize,5745.0,1010.0,40.0,24.41,10,24654.1,0.03960396035682776,595.8481
Angola,Potatoes,29885.0,1010.0,40.0,24.41,10,24654.1,0.03960396035682776,595.8481
Angola,Rice,13454.0,1010.0,40.0,24.41,10,24654.1,0.03960396035682776,595.8481
Angola,Sorghum,3333.0,1010.0,40.0,24.41,10,24654.1,0.03960396035682776,595.8481
